algol,state,micros
bfs, state1, 181226
bfs, state1, 190382
bfs, state1, 180860
bfs, state1, 181584
bfs, state1, 180597
bfs, state1, 182269
bfs, state1, 182064
bfs, state1, 183509
bfs, state1, 182099
bfs, state1, 180893
bfs, state2, 933226
bfs, state2, 999760
bfs, state2, 954092
bfs, state2, 954412
bfs, state2, 1019320
bfs, state2, 987635
bfs, state2, 992445
bfs, state2, 981645
bfs, state2, 1003540
bfs, state2, 1038482
bfs, state3, 21
bfs, state3, 6
bfs, state3, 5
bfs, state3, 5
bfs, state3, 5
bfs, state3, 5
bfs, state3, 5
bfs, state3, 5
bfs, state3, 5
bfs, state3, 5
dfs, state1, 221027
dfs, state1, 723649
dfs, state1, 1651826
dfs, state1, 1791292
dfs, state1, 466757
dfs, state1, 743314
dfs, state1, 433906
dfs, state1, 531536
dfs, state1, 1824044
dfs, state1, 1739169
dfs, state2, 487856
dfs, state2, 95894
dfs, state2, 85513
dfs, state2, 2133929
dfs, state2, 1068309
dfs, state2, 1309814
dfs, state2, 1319889
dfs, state2, 1354837
dfs, state2, 440448
dfs, state2, 2657594
dfs, state3, 425133
dfs, state3, 3509919
dfs, state3, 15
dfs, state3, 2
dfs, state3, 7
dfs, state3, 2
dfs, state3, 8333
dfs, state3, 4
dfs, state3, 669180
dfs, state3, 759351
greedy_search, state1, 8814
greedy_search, state1, 9542
greedy_search, state1, 8495
greedy_search, state1, 7013
greedy_search, state1, 7848
greedy_search, state1, 8029
greedy_search, state1, 6531
greedy_search, state1, 7059
greedy_search, state1, 6421
greedy_search, state1, 7803
greedy_search, state2, 8230
greedy_search, state2, 8074
greedy_search, state2, 7780
greedy_search, state2, 6461
greedy_search, state2, 5587
greedy_search, state2, 7664
greedy_search, state2, 7321
greedy_search, state2, 13561
greedy_search, state2, 6463
greedy_search, state2, 7914
greedy_search, state3, 79
greedy_search, state3, 39
greedy_search, state3, 35
greedy_search, state3, 37
greedy_search, state3, 81
greedy_search, state3, 1001
greedy_search, state3, 46
greedy_search, state3, 39
greedy_search, state3, 40
greedy_search, state3, 809